epoch,loss,val_loss
156,30266.57421875,33750.37890625
157,30527.23046875,33751.0390625
158,30263.845703125,34139.17578125
159,30167.107421875,33855.12890625
160,29937.126953125,33955.7890625
161,29997.0078125,33619.1171875
162,30042.048828125,33578.73046875
163,29952.322265625,33515.84765625
164,30183.859375,33697.54296875
165,30277.822265625,33864.57421875
166,29751.765625,33442.08984375
167,29891.564453125,33586.7421875
168,29968.60546875,34046.7890625
169,30109.80078125,33466.8984375
170,30504.9921875,33656.390625
171,29652.39453125,33353.98828125
172,29907.927734375,33490.8359375
173,29606.6875,33700.65234375
174,29824.904296875,33292.0859375
175,29966.306640625,33647.80078125
176,29312.388671875,33301.12109375
177,29655.130859375,34684.29296875
178,29487.013671875,33177.77734375
179,29526.91796875,33662.6015625
180,29740.55078125,33338.390625
181,29271.869140625,33213.0703125
182,29599.4296875,33467.28125
183,29407.90625,33088.36328125
184,29238.20703125,34580.65625
185,29655.072265625,33336.05078125
186,29250.94921875,33459.19921875
187,29459.51953125,33163.0546875
188,29299.75,34184.28125
189,29292.552734375,33311.84765625
190,29356.99609375,32985.46875
191,29519.2890625,33076.59765625
192,29453.501953125,33003.45703125
193,29023.8359375,32924.609375
194,29088.68359375,32995.32421875
195,29161.77734375,33058.7421875
196,28538.3359375,33431.68359375
197,28945.525390625,32964.8828125
198,28827.466796875,33067.5
199,28988.83203125,32998.55859375
200,28981.783203125,33296.3046875
201,28800.521484375,32744.72265625
202,29102.412109375,32980.04296875
203,28700.744140625,33040.23046875
204,28783.2265625,32939.0703125
205,28870.7734375,34183.984375
206,28874.587890625,32729.94140625
207,29195.072265625,32993.375
208,28590.046875,32599.8359375
209,28514.73046875,32780.21875
210,28808.978515625,32598.11328125
211,28658.431640625,32537.658203125
212,28345.806640625,32560.30859375
213,28647.90625,32491.814453125
214,28203.740234375,32421.21875
215,28647.43359375,32822.20703125
216,28674.82421875,33648.9921875
217,28559.421875,33160.03515625
218,28364.462890625,32832.71484375
219,28082.3203125,32424.462890625
220,28409.677734375,32862.578125
221,27954.650390625,33726.4296875
222,27859.306640625,32353.640625
223,28126.40625,33397.66015625
224,28423.638671875,32487.63671875
225,27553.564453125,32202.4765625
226,28218.640625,32347.259765625
227,28207.548828125,32593.037109375
228,28181.04296875,32197.353515625
229,28011.44921875,32061.345703125
230,28121.28125,32092.7734375
231,27996.220703125,32117.78125
232,27748.806640625,32246.71484375
